Source,Target,Weight
kelittzy1999,rickynsas,1
kelittzy1999,tackpoll37096,1
keps_ky,kangdien_wae,1
ketchills,joysour_,1
keuangannews_id,keuangan,1
kevinalsndr,brightlyweb3,1
kevinalsndr,hidupsebagai62,1
kevinalsndr,kapuds640,1
kevinalsndr,unmagnetism,1
kevinalsndr,xlaluwin,1
kiluazoldyck25,karirfess,1
kleponwajik,caleeida,1
komiksick,duniarandoz4,1
kopi_and_chat,budibukanintel,1
kramotakkanan,kapuds640,1
kubuside,lambesahamjja,1
kuru_vtuber,divhumas_polri,1
kuru_vtuber,jaksapedia,1
kuru_vtuber,kejaksaanri,1
kuru_vtuber,kemenkum,1
kuru_vtuber,kemkomdigi,1
lahbabuuuu,theeconopost,1
lamborvhini,indihome,1
latte_coffee20,bycmsimel,1
leehaesun00,campanulaa_,1
leehaesun00,lagigabutini,1
leehaesun00,shopeeid,1
leshugoo,indomyfess,1
lib4liv,anggapph2,1
likamarl,mrtweepsid,1
linea_rosso,hidupsebagai62,1
linea_rosso,suwant70,1
liotnel,masssdho97,2
lisalebe,nanyaseadanya,1
llostcontact,tanyakanrl,1
lostenvan,jongin_l14,1
lostmicko,dimarsasongko98,1
lovedrichfree,bismillahyuk_,1
lovedrichfree,tanggalmerah_12,1
lullabyiez17741,jaeysss97,1
lumpspark,daysflo,1
luneofgod,nucdue,1
lunivers010,aphin123,1
lxvysa,infernnnooo,1
lxvysa,irtmillenial,1
m_sanusi_red20,partaisocmed,1
machrilmachril1,bumn_idn,1
machrilmachril1,jiwasraya,1
machrilmachril1,purbaya,1
madhink,adith_wp,1
madhink,ainunnajib,1
malingfest,anzarwa1,1
malingfest,unmagnetism,1
mangunsong63,akhmad67523072,1
mangunsong63,amran_bin_ali,1
mangunsong63,drpullmanrogers,1
mangunsong63,musniumar,1
mangunsong63,ngm_007,1
mangunsong63,paimomontok,1
mangunsong63,rusdiru01226366,1
mangunsong63,siregarferro___,1
mangunsong63,yudiantiyaman,1
manusiakeraaa,ccicpolri,1
manusiakeraaa,divhumas_polri,1
manusiakeraaa,listyosigitp,1
manusiakeraaa,polresjakpus,1
manusiakeraaa,polresjogja,1
manusiakeraaa,redapusi,2
maptcha,breybrandon,1
maptcha,oodracoo,1
maptcha,worksfess,1
mariaalkaff_,adm_zonaoposisi,1
mariaalkaff_,ommi_siregar,1
marshalleooo,unmagnetism,1
marsol6606,tanyakanrl,1
maruriyusria,imaisback,1
maruriyusria,istighfarciel,1
masrony76,guru_pns,1
me__yudis,soundofyogi,1
mediakonsumenid,aduankonten,1
mediakonsumenid,googleindonesia,1
mediakonsumenid,googleplay,1
mediakonsumenid,ojkindonesia,1
mediakonsumenid,tanifund,1
mediakonsumenid,tanyajago,1
megumeng,hundred_petalss,1
membingungkanz,archivebyta,1
meowrecklessrj,cutepooodle,1
meowrecklessrj,rakyatvspinjol,1
mfadillubis,aris_prabowoo,1
mfadillubis,cheytax_1,1
mfadillubis,ddarwin889,1
