Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
kikysaputrii,kikysaputrii,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
netijen477437,netijen477437,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
chocominttt28,chocominttt28,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
bpkn_ri,bpkn_ri,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
ratudam05,ratudam05,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
andiwen_,andiwen_,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
zamharibasyir1,zamharibasyir1,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
dar4_ra,dar4_ra,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
05913e7fec97465,05913e7fec97465,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
rani_krisn,rani_krisn,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
swweetplace,swweetplace,0.0031201248049922,0.0,0.0031201248049922,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
officialafpi,officialafpi,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
denisupriyadi06,denisupriyadi06,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
sweetiecutepie_,sweetiecutepie_,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
jonathanend,jonathanend,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
ayluvmatcha,ayluvmatcha,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
aquariusdrop_,aquariusdrop_,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
x4indonesiaraya,x4indonesiaraya,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
rizalandi,rizalandi,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
sosmedkeras,sosmedkeras,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
grimreap180797,grimreap180797,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
peachybellsz,peachybellsz,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
cattheseekers,cattheseekers,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
bpjstkinfo,bpjstkinfo,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
mohmahfudmd,mohmahfudmd,0.0046801872074883,0.0046801872074883,0.0,0.0,Tidak Ada Topik / Target Saja
ipung2667,ipung2667,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
budbu,budbu,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
indodana_id,indodana_id,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
geniuskvife,geniuskvife,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 1: Masalah Finansial & Beban Hutang Pribadi
srhbaes,srhbaes,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
rozaqate,rozaqate,0.0039001560062402497,0.0,0.0039001560062402497,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
yana_yeoh,yana_yeoh,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
beritapinjol,beritapinjol,0.00078003120124805,0.00078003120124805,0.0,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
rakyatvspinjol,rakyatvspinjol,0.0124804992199688,0.0062402496099844,0.0062402496099844,6.576375467196674e-05,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
